Serial Number,2010 Deposits,2011 Deposits,2012 Deposits,2013 Deposits,2014 Deposits,2015 Deposits,2016 Deposits
1,21386,23981,24825,26908,30681,30680,37564
2,55454,56564,64732,73523,81357,89270,106177
3,90882,104300,125038,125906,132501,137363,145054
4,45674,49288,53251,70402,74742,73837,85996
5,64181,72217,69920,80703,75971,73225,81706
6,62558,67728,78847,93520,100658,112495,126153
7,78437,87150,102144,119436,133107,142844,163181
8,84622,96048,103946,109836,120717,123166,134546
9,48467,48696,54702,56942,55845,58260,62909
10,49281,48689,48674,52221,53590,55746,59030
11,30742,31913,33119,41364,45835,55260,63156
12,29481,31025,34804,40111,42388,47323,49182
13,56835,62106,68988,82588,95886,104988,117156
14,44165,51546,51797,58531,66405,71243,86112
15,41386,44935,53885,58062,62966,68055,72966
16,32264,32588,34777,38558,64982,65242,71102
17,43650,43171,45133,48321,49082,50828,51461
18,20742,21347,21619,23389,24712,27404,29424
19,32374,32970,33703,34882,35689,35511,38360
20,38879,44762,53897,56107,61649,69091,72803
21,23586,25819,32530,33684,34126,33759,40099
22,133476,161447,159164,140445,222437,211823,247154
23,36034,39054,47172,54680,55359,57751,69128
24,41540,45722,49287,53491,56862,63709,77757
25,63075,69062,79939,88693,92229,96281,104869
26,43225,51113,51254,59723,66068,70480,75076
27,151797,99047,109104,112270,115884,114944,116103
28,54152,42828,43477,41077,44265,43664,42056
29,223146,253314,281540,295447,310291,400746,319214
30,26675,27337,27643,30463,31413,31339,34837
31,0,0,0,0,0,0,0
32,19269,20213,21699,20919,23428,26047,28054
33,19622,20642,23775,28120,36884,33966,39513
34,23795,24703,25858,30442,34355,37127,42567
35,41598,43451,47110,52574,55085,56202,61964
36,14808,15292,15806,16323,16399,15742,17162
37,51346,44837,52548,57925,60297,57303,61880
38,0,0,0,0,0,0,0
39,45418,60273,47065,53530,49379,52287,46910
40,63111,67989,75009,76451,83882,90045,90557
41,33490,37229,38950,43989,47983,52672,53148
42,28752,31884,42196,40250,43409,52734,57204
43,96546,97148,95482,128388,135539,140777,142493
44,23085,24662,27030,30252,31701,34106,37419
45,37261,37766,39912,41831,42954,44027,47406
46,23039,22216,21545,21637,22516,22724,23866
47,42661,45937,48929,50145,53288,56894,61524
48,11318,11286,13604,12131,11535,13977,14256
49,32114,30159,30073,31627,32112,33085,32463
50,31560,33998,34306,37672,36977,44564,46172
51,70334,73928,74010,71214,72174,74586,77643
52,40301,40500,41781,43617,45287,47933,51345
53,24163,24160,25408,26719,26701,27807,28191
54,24416,25971,29774,31226,33669,37212,42705
55,35971,41649,48948,55542,59022,65046,69369
56,27885,29115,31670,34079,394269,404053,437332
57,29072,30370,33596,39173,40944,43247,48578
58,72003,81172,94767,126375,144222,157759,195381
59,39131,49714,57242,76750,94139,113507,157361
60,95118,100172,107768,118198,123646,130427,137565
61,3993920,3883422,3962136,3924493,4747598,5269524,5164067
62,59477,56845,58147,60064,59822,56953,60118
63,73695,74732,81454,88596,89166,96143,110693
64,20490,19651,20521,20581,20267,20682,22224
65,22428,22004,22603,23382,23038,22820,25047
66,26830,26928,28620,27550,27361,26741,56986
67,39087,35917,37689,42187,44124,45444,48315
68,36417,36653,38458,38426,39712,42175,46686
69,35449,35858,39532,47280,48774,51246,61977
70,42174,44127,47452,50059,51029,51683,56492
71,99725,133067,149104,171147,162793,173579,188565
72,47315,47714,51326,52357,54503,56132,58329
73,63607,65844,66696,66837,64189,66068,66710
74,47605,51250,51488,56042,58705,61348,66634
75,33517,34365,40851,40908,42161,44408,42581
76,58566,60694,66222,71056,71289,73194,80794
77,96533,99087,107026,117244,114252,119338,135105
78,25589,29069,30096,31039,32025,33442,37096
79,0,0,0,0,0,0,0
80,35939,36617,40175,43821,45087,48119,51975
81,33646,34501,38628,39705,39861,42800,46541
82,100405,84848,65257,62677,121959,68726,78938
83,30745,31402,34338,37775,37168,36364,38385
84,96862,101455,109943,113502,117761,120327,129536
85,45222,39983,43717,45869,43721,47718,51535
86,636,657,748,850,513,912,593
87,48825,50197,60148,64812,67293,73421,83236
88,83955,84313,89077,95135,97992,111507,125364
89,114664,128164,147021,167913,173152,187716,216591
90,34792,37902,43389,46238,49398,55574,55803
91,49337,51848,57928,66781,79771,89977,114003
92,72381,82379,90746,97883,101886,115252,131196
93,71466,77680,86112,98453,106746,114770,128546
94,39139,41487,50628,55567,55478,58339,69398
95,34046,38044,41415,47374,53239,56232,61619
96,50486,55812,59518,66331,73452,76665,81369
97,36342,38905,42903,45828,47359,49291,55812
98,55411,59505,62785,69418,70883,76310,80623
99,93835,100259,109052,123541,121509,132267,138496
100,47969,49736,55018,61094,67730,73837,79280
101,84228,85457,103528,119432,124856,128879,139102
102,134598,148601,169224,193268,207301,222745,240075
103,92223,101148,119698,140417,169834,185062,220604
104,62046,65959,72140,75782,77330,83666,84104
105,16457,18524,20281,23879,23378,24708,25579
106,60128,60002,61756,63224,60519,64408,69201
107,107146,114380,125170,120059,125911,123893,119570
108,121555,111901,102880,144110,111299,103798,108596
109,50858,54267,59810,67459,72765,79732,84962
110,37820,39118,42841,44682,49578,49418,54357
111,83136,96510,114083,140768,169772,204331,263679
112,70049,75868,87253,107235,242706,157039,143936
113,38002,37489,38934,41388,44208,47941,48654
114,27855,29607,32570,35332,34903,36920,38553
115,50692,55569,65576,72911,81017,90927,103738
116,33492,33871,35170,37657,40064,41716,45381
117,37431,39761,44627,51029,56573,61869,67177
118,64526,65859,72964,71105,70346,69299,63088
119,26361,27794,25311,25480,25785,24698,25171
120,18992,20398,24228,26758,27117,27215,25758
121,1220,1055,889,2041,934,1028,1041
122,20242,20932,22298,24208,25214,28409,31813
123,10634,12247,14215,17101,18432,18532,18755
124,48058,62133,70323,94047,112655,96474,102327
125,418170,289256,292448,347353,286391,444458,503690
126,25099,24144,26588,26780,28857,29321,32515
